GenreID,Genre
1,Family
2,Thriller
3,Sci-Fi
4,Sport
5,Music
6,Adventure
7,Action
8,Western
9,Comedy
10,War
11,Crime
12,Romance
13,Drama
14,Animation
15,Musical
16,Biography
17,History
18,Mystery
19,Film-Noir
20,Horror
21,Fantasy
